winery,wine_name,wine_type,wine_country,average_rating,num_of_ratings,wine_price,grapes,alcohol_content,reviews
Château Climens,Cyprès de Climens Barsac 2014,Dessert wine,France,4.1,36,,Sémillon,13,"Deep gold. Citrus caramelised pineapple and quince. Some honeyed botrytis and deft oak. Lovely vibrant palate. Drinking beautifully. Now-5 years.,Lots of honey here, dried apricot. Light for a Barsac. Great end to a meal with wonderful wines and company. What more could you ask for.,Stone fruits, pineapple, caramel pear, such a joy on the nose. Gorgeous gold colour and syrupy on the tongue. A joy. Great with classic French desserts, a tatin, a taste aux abricots, some custard classics."
Purple Hands,Kropf Vineyard Pinot Noir 2017,Red wine,United States,4.4,35,39.99,100% Pinot Noir,13.5,"Aromas are cherry, rhubarb and mild hickory smoke. Very good flavors with cherry, raspberry and blueberry and some Asian spice.,Beautiful Pinot ❤️ silky smooth flavor great balance. Lighter style 13.5 Alc. enjoyable lingering finish.,An oh so delicious quaff ... from the unique blueberry/raspberry nose to the acidic, mouthwatering red and dark berry palate laced with spices to the loooog pleasant linger."
Laurent Miquel,Père et Fils Cinsault - Syrah 2019,Rosé wine,France,3.9,390,14.99,"Shiraz/Syrah, Cinsault",11,"4/5 , 91pts €9 @dunnesstores Another very decent wine from Laurent & Neasa Miquel. An unusual rosé, a very light colour, borderline white, the subtlest of pink colour. Perfect with the summer BBQ. on the nose peach, apricot, pear and strawberry. On the palate mango, strawberry, apple and pear. Thoroughly enjoyable. 12.5% , goes down too easy 😊 Sláinte 🍷,Lovely light coloured rosé with strawberries on the palate. Good acidity with a dry finish. Perfect deck sipper on a hot summer day.,Wonderful example of Southern France rosé. Pale colour, light strawberry flavour. Nice acidity and very refreshing. Terrific wine for the price!"
Champalou,Vouvray 2018,White wine,France,4.1,768,22.95,100% Chenin Blanc,,"Terrific wine. Pear, peach, apricot, citrus, honey -ish, great acidity and freshness. Rises up like a wave before crashing down and gently ebbing away. Nice surprise with our seafood dinner! 👍🏼👍🏼👍🏼,I really enjoyed this wine. Off dry with notes of honey, citrus, pineapple, butter, vanilla, Chamomile and minerals. Lots going on, very nicely balanced. I would buy this wine again.,This wine is absolutely ~delicious~ 😋 It smells like fresh pear drenched in honey, and there’s notes of maple syrup and chamomile. It has that classic mouthwatering acidity. It is totally dry. If there’s any sweetness it is masked by the refreshing acidity. Flavors of green apple, roasted lemon, and more honey. YUM."
Goldeneye,Pinot Noir Rosé 2018,Rosé wine,United States,3.9,59,33.61,100% Pinot Noir,13,"Clear, pale salmon. Clean, medium intensity aroma of cherry, apple, mango, stone. Off dry, high acidity, light tannins, medium body and medium finish. Salinity on the palate, otherwise confirming the nose. Very nice.,Revisited this 💯 Pinot Noir Rosé with 🍇 sourced from Hopeland, California vineyards. Gorgeous copper pink color. This is a crisp, slightly off dry wine with medium (+) body, soft tannins and medium acidity. The👃offers aromas of Morello cherry, red apple, raspberry, peach, mango, honeydew melon, mint, lavender & rose petal. The 👅follows the 👃 showing off flavors of cherry, watermelon, dried peach, lemon curd, vanilla, honey & spearmint with a nice salinity in the medium long finish. 13.0% ABV. 4.1 ⭐.,Nice crisp, nicely acidic Rosé of Pinot Noir. Cherries, apples and raspberries and medium body. I’m giving this 89/100."
Olivares,Rosado 2019,Rosé wine,Spain,3.7,230,12.99,100% Grenache,13,"I love this rose. Not super sweet, really tasty. Will definitely buy again,Crisp, light & refreshing on a hot summer day,Seriously tasty for the price"
Azienda Vitivinicola Cardedu,Praja Monica 2019,Rosé wine,Italy,4.0,110,22,100% Monica,12.5,"Relatively clear light bodied garnet color. Dry with balanced acidity and tannins. A strong burst of cherry flavor. A little flavor of earth and minerals and a touch of twigs. Moderate finish. A very nice well made country Italian wine.,Notes of cranberry also notes of sandstone with a sage finish. As a sidenote this wine is improved by a slight chilling.,Denser than the 2018 vintage. Tobacco, dragon fruit, cinnamon, and persistent minerality driving this one home. I was shocked by the weight and complexity of this vintage. 🌚"
Contratto,Cuvée Novecento Pas Dosè 2010,Sparkling wine,Italy,4.0,306,39.99,"70% Pinot Nero, 30% Chardonnay",12.5,"cream toast orange stone citrus lemon green apple apple butter. Dry high acidity medium+ intensity medium alcohol and length with good nice bubbles,Pale lemon with pronounced developing aromas of honey, mushroom and butter. Dry with fine creamy mousse, full bodied, flavours off honey, strawberry, savoury and bread. Medium finish can be drunk now but has potential for ageing.,Long lasting fine sparkling. Nice gold colour, complex, elegant and wide bouquet but not intense. Mainly white flowers, herbaceous, honey, oxidation reveals when the wine temperature increases. Mouth is again herbaceous and honey where again oxidation reveals itself. Nice lasting"
Trimbach,Gewurztraminer Alsace Vendanges Tardives 2014,Dessert wine,France,4.2,90,,Gewürztraminer,,"Excellent dessert wine. Agree with the descriptors honey and butterscotch. Sweet obviously, but otherwise so elegant you don’t really notice.,Late harvest Gewuerztraminer from one of Alsace’s top producers. Lychee, orange rind, honey, almond, apricot and pineapple flavors. Simply outstanding. 4.4,WSET 2 Clear deep Gold Tropical ripped fruits, flower and cooking species Sweet late harvest, low/med acidity, medium/long finish 3.5"
Sutter Home,Sweet Red 2012,Dessert wine,United States,3.4,326,12.99,"Shiraz/Syrah, Merlot, Zinfandel",,"Raspberry and cherry with loads of sweetness. Slight oak on the finish, my wife loves it for the almost ice wine like sweetness but can be a dessert wine for sure!,My hubby brought this one home after being told spend at least $15 or more on a bottle of red. He went for volume.,Equates to the quality you might expect when bottled in plastic, which these individual bottles are. Slightly harsh on the finish."
Santi,Amarone della Valpolicella 2015,Red wine,Italy,4.4,29,39.99,"75% Corvina, 25% Rondinella",15,"A dark red color with soft garnet red hues. The aroma is intense, penetrating and elegant with dominant element of raisins and prunes. More nuanced, there are hints of spices (cloves, cinnamon) and cherry compote. A warm soft taste. Full-bodied and powerful, slightly tight. An elegant finale of peach seed and toasted almonds that lingers long in the mouth.,Sweet, rich, really good,2011 vintage"
Château La Gironie,Monbazillac 2012,Dessert wine,France,4.0,28,15.29,"Sauvignon Blanc, Sémillon, Muscadelle",,"Aromas of melon and honeysuckle. Thinner body and less tertiary complexity than a sauternes but for 7 dollars for a 375ml its not a bad deal.,2012 Monbazillac, Dordogne, France. A sweet, medium to slightly syrupy, dessert wine. Lighter and not quite as concentrated as a Sauterne. Flavors of jackfruit, honey, almond, & toasted bread. The tropical fruit note has some shaggy funk in it, which is probably the thing that is somehow, somewhat addicting. One of those situations where you just keep coming back for one more sip... & then you discover the bottle is uncooperative, & empty! (This one had some unusually yummy lees at the bottom.) More please!,Delicious dessert wine. Great value!"
Vie di Romans,Piere Sauvignon Blanc 2018,White wine,Italy,4.2,271,32.99,100% Sauvignon Blanc,14.5,"Full-bodied, fruity but prevailing minerality accents the overall bold notes, great with grilled fish,I simply adore thie wines of Vie di Romans. This Piere Sauvignon Blanc is pleasantly fruity with an aromatic finish in your mouth. Vie di Romans Sauvignon Piere is a smooth and harmonious wine with a rich and enveloping aromatic spectrum. Hints of exotic fruit, yellow peach, citrus peel and elderflower enliven a full, fresh and savoury taste. It's a Friuli Isonzo DOC 100% Sauvignon.,77/100 yellow in the glass acidic on the tounge lemon lime at Quintessenza Michelin Trani"
Calabretta,Rosato 2019,Rosé wine,Italy,3.8,25,26.99,Nerello Mascalese,,"Very warm and soft, bright Rosé wine! Super smooth cherry and strawberry jam. Little bit of cinnamon and warm hint of ignite soil and volcanic rocks - a Sicilian vibe. Made of Nerello Mascalese. Has very pretty rose color, medium body, milky smooth texture with medium acidity. Alcohol level is bit high for a Rosé (13.5%) but feel very smooth. Nice Rosé!,Strawberry jam and cherry on the nose. Bing cherry on the palate, with the tartness of strawberry and a bit of salt on the finish. Unique. Like most Sicilians, this is best suited for pairing with food, and is useful for difficult matches. Tonight it worked pretty well with homemade pork carnitas.,fun, bright. beautiful light ruby. lil overpriced comparatively"
Churchill's,White Port N.V.,Fortified Wine,Portugal,3.8,1122,24.99,100% Baga,19.5,"2003 vintage,19.5% ALC. Very very nice after dinner treat with Talenti Salted Peanut Caramel gelato. This is the first white Porto we have had. It was not red white tawny or any shade of rosé color, more like a light red gold. 500 ml. Blend of Malvasia Fina new grape 279, Rabigato, Rouperio new grape # 278 AKA Siria and Gouverio Real new grape # 277. With 3 new grapes added to our current new grapes QUEST. A GREAT FIND. CHEERS.,Always fan of white tawny ports 😊🥂 great value for money, here complex with nice acidity - nice find"
Albert Seltz,Riesling Réserve 2016,White wine,France,4.2,26,20.99,100% Riesling,,"Great Riesling with yellow color in aroma and taste apple pear peach ripe citrus fruit in the background tropical fruit notes honey stone grass gooseberry straw well balanced high acidity crisp mineral super wine solo. 🥂👍🏻😃👌🏻⭐️,I loved this wine. I bit dry, strong and nice acidity. Great match with Japanese food.,Very good Riesling with tropical notes (pineapple)"
Hourglass,Estate Sauvignon Blanc 2019,White wine,United States,4.4,33,35.99,100% Sauvignon Blanc,14.1,"Grassy lemon and cut grass upfront. Transitions to a mid palate of tropical fruit and finishes with minerality and a pleasant touch of creamy bitterness. Absolute knockout of a Sauvignon Blanc.,One of my favorite CA Sauvignon Blancs. Opulent and aromatic, with a delightfully round texture. Ripe stone fruit, peach, apricot, golden pear, grapefruit, papaya, guava, passion fruit, melon, crushed wet rocks, verbena, vanilla Dry M+ acid M alc M- phenolic bitterness M+ body Round M+ finish,PNP. Shimmering pale gold in the glass. Aromas of lime zest, green apples, apricots, cream cheese, lemon oil and fresh cut pineapple. Creamy palate that adds gooseberries, limeade and a streak of bitterness that adds a nice lift to the long, crisp finish."
Cristom,Mt. Jefferson Cuvée Pinot Noir 2018,Red wine,United States,4.2,1190,34.99,100% Pinot Noir,13.5,"Wow, what a great wine. Perfect balance and developed nicely over time in the glass. Notes of milk chocolate, wild berries and caramel.,Again over delivers for the price. I would say better than acclaimed 2017. Same great winemaking, but 2018 is a more concentrated vintage.,Great at 12 degrees and all the way to 17. Paired well with fish, strip loin, pork steak and chorizo. More elegant than most American Pinot I’ve tried. Very nice wine."
Backsberg,Pinotage Rosé 2019,Rosé wine,South Africa,4.1,97,14.99,Pinotage,12.5,"Fruity, Turkish delight, very good wine. Fruity, some sweetness.,My new favorite rose... what a winner!!! Fresh burst of strawberry and citrus with a long finish. Must get more for the long summer ahead. Here comes trouble...,Very good choice of rose, berries, lime, crisp, sec"
H. M. Borges,Madeira Reserve 5 Years Old Medium Sweet N.V.,Fortified Wine,Portugal,3.9,176,,Tinta Negra Mole,19,"Burnt caramel and walnut oil nose for sure. A blast of fruit at first and then a really mellow finish of something like orange vanilla. Lots of fun!,Tobacco black fruit oaky raisin pear earthy caramel good,Smooth and sweet with notes of dried fruits wood and caramel"
J Vineyards,Ca Cuvée N.V.,Sparkling wine,United States,3.9,411,,"61% Chardonnay, 36% Pinot Noir, 3% Pinot Meunier",12.5,"Really enjoyed this sparkle. Not overly fizzy or bubbly. Notes of apple and pear, with a creamy yeast flavor. Light and lovely!!,Good balance with medium body & moderate acidity. Delicate but not strong bubbles. Citrus, green apple, a hint of yeast. Very cost-effective. 90 pts.,Citrus, sour apple, our daughter’s namesake sparkling (bcss grad 2011), enjoyed with popcorn admiring mountains at sunset in Whistler BC"
